id,created_at,full_name,age,nationality,social_status,no_of_children,has_second_home,timing_to_buy,primary_reason,property_type,unit_size,price_range,home_features,staff_accommodation,premium_features,exterior_colour,sport_amenities,additional_amenities,managed_rental,raw_answers,payment_plan,travel_to_destination,community_mobility
8530c35b-b84b-44ea-9859-153a2a0acfd7,2026-09-09 13:07:21.282515+00,,25–34,Saudi Arabia,Married,0,Self-owned,2030 onwards,Investment,Beach Villa,3BR,700k–1.5M SAR,"[""Outdoor Space"",""Sea Views"",""Balconies & Terraces""]",Both,"[""Built-in Wardrobes"",""Kitchen Appliances"",""Installed Kitchen""]","[""Sand""]","[""Tennis"",""Football"",""Water sports""]","[""Spa & Gym"",""Children's Club"",""Cafes"",""Social Lounge""]",Depends on fees & flexibility,"{""age"":""25–34"",""unit_size"":""3BR"",""nationality"":""Saudi Arabia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""Upfront cash in full"",""home_features"":[""Outdoor Space"",""Sea Views"",""Balconies & Terraces""],""property_type"":""Beach Villa"",""social_status"":""Married"",""timing_to_buy"":""2030 onwards"",""managed_rental"":""Depends on fees & flexibility"",""no_of_children"":""0"",""primary_reason"":""Investment"",""exterior_colour"":[""Sand""],""has_second_home"":""Self-owned"",""sport_amenities"":[""Tennis"",""Football"",""Water sports""],""premium_features"":[""Built-in Wardrobes"",""Kitchen Appliances"",""Installed Kitchen""],""community_mobility"":[""Walking""],""staff_accommodation"":""Both"",""additional_amenities"":[""Spa & Gym"",""Children's Club"",""Cafes"",""Social Lounge""],""travel_to_destination"":""Air""}",Upfront cash in full,Air,"[""Walking""]"
854a9e14-ab62-4eb1-86d7-a5c9ec3ccef9,2026-09-09 13:08:35.301163+00,,25–34,Saudi Arabia,Married,0,Family-owned,2028 – 2029,Both,No preference,2BR,700k–1.5M SAR,"[""Outdoor Space"",""Balconies & Terraces"",""Park Views""]",Both,"[""Installed Kitchen""]","[""Sage""]","[""Water sports"",""Football"",""Padel""]","[""Spa & Gym"",""Children's Club"",""Social Lounge"",""Ladies Facilities"",""Beach Club"",""Restaurants"",""Picnic Areas"",""Cafes"",""Retail""]",Depends on return,"{""age"":""25–34"",""unit_size"":""2BR"",""nationality"":""Saudi Arabia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Outdoor Space"",""Balconies & Terraces"",""Park Views""],""property_type"":""No preference"",""social_status"":""Married"",""timing_to_buy"":""2028 – 2029"",""managed_rental"":""Depends on return"",""no_of_children"":""0"",""primary_reason"":""Both"",""exterior_colour"":[""Sage""],""has_second_home"":""Family-owned"",""sport_amenities"":[""Water sports"",""Football"",""Padel""],""premium_features"":[""Installed Kitchen""],""community_mobility"":[""Personal Car""],""staff_accommodation"":""Both"",""additional_amenities"":[""Spa & Gym"",""Children's Club"",""Social Lounge"",""Ladies Facilities"",""Beach Club"",""Restaurants"",""Picnic Areas"",""Cafes"",""Retail""],""travel_to_destination"":""Car""}",5+ yrs,Car,"[""Personal Car""]"
858a7c8d-e5cc-47b4-b148-6241c4cd15c7,2026-09-09 13:20:35.70277+00,,35–44,Philippines,Married,0,No,2030 onwards,Both,Beach Villa,2BR,700k–1.5M SAR,"[""Sea Views""]",A maid's room,"[""Private Pool""]","[""Sage""]","[""Water sports""]","[""Spa & Gym"",""Picnic Areas"",""Retail""]",Yes,"{""age"":""35–44"",""unit_size"":""2BR"",""nationality"":""Philippines"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Sea Views""],""property_type"":""Beach Villa"",""social_status"":""Married"",""timing_to_buy"":""2030 onwards"",""managed_rental"":""Yes"",""no_of_children"":""0"",""primary_reason"":""Both"",""exterior_colour"":[""Sage""],""has_second_home"":""No"",""sport_amenities"":[""Water sports""],""premium_features"":[""Private Pool""],""community_mobility"":[""Shared Buggy / Community Shuttle""],""staff_accommodation"":""A maid's room"",""additional_amenities"":[""Spa & Gym"",""Picnic Areas"",""Retail""],""travel_to_destination"":""Air""}",5+ yrs,Air,"[""Shared Buggy / Community Shuttle""]"
85d47fc3-b99d-4428-afc8-06a0683fdd0b,2026-09-10 05:30:57.542311+00,,45–54,Malaysia,Married,1,Self-owned,2028 – 2029,Both,Apartment,2BR,700k–1.5M SAR,"[""Sea Views""]",,"[""Installed Kitchen""]","[""Sand""]","[""Padel"",""Water sports"",""Football""]","[""Spa & Gym"",""Children's Club"",""Social Lounge"",""Ladies Facilities"",""Picnic Areas"",""Beach Club"",""Restaurants"",""Cafes"",""Retail""]",Depends on fees & flexibility,"{""age"":""45–54"",""unit_size"":""2BR"",""nationality"":""Malaysia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Sea Views""],""property_type"":""Apartment"",""social_status"":""Married"",""timing_to_buy"":""2028 – 2029"",""managed_rental"":""Depends on fees & flexibility"",""no_of_children"":""1"",""primary_reason"":""Both"",""exterior_colour"":[""Sand""],""has_second_home"":""Self-owned"",""sport_amenities"":[""Padel"",""Water sports"",""Football""],""premium_features"":[""Installed Kitchen""],""community_mobility"":[""Walking"",""Cycling"",""Shared Buggy / Community Shuttle""],""staff_accommodation"":null,""additional_amenities"":[""Spa & Gym"",""Children's Club"",""Social Lounge"",""Ladies Facilities"",""Picnic Areas"",""Beach Club"",""Restaurants"",""Cafes"",""Retail""],""travel_to_destination"":""Air""}",5+ yrs,Air,"[""Walking"",""Cycling"",""Shared Buggy / Community Shuttle""]"
8627dfec-800f-4189-9534-e74018a1df2b,2026-09-09 13:09:03.174931+00,,35–44,India,Married,2,No,2026 – 2027,Both,No preference,2BR,700k–1.5M SAR,"[""Balconies & Terraces""]",Not required,"[""Built-in Wardrobes""]","[""Blue""]","[""Football""]","[""Children's Club"",""Spa & Gym""]",Depends on fees & flexibility,"{""age"":""35–44"",""unit_size"":""2BR"",""nationality"":""India"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""3–5 years"",""home_features"":[""Balconies & Terraces""],""property_type"":""No preference"",""social_status"":""Married"",""timing_to_buy"":""2026 – 2027"",""managed_rental"":""Depends on fees & flexibility"",""no_of_children"":""2"",""primary_reason"":""Both"",""exterior_colour"":[""Blue""],""has_second_home"":""No"",""sport_amenities"":[""Football""],""premium_features"":[""Built-in Wardrobes""],""community_mobility"":[""Cycling""],""staff_accommodation"":""Not required"",""additional_amenities"":[""Children's Club"",""Spa & Gym""],""travel_to_destination"":""Car""}",3–5 years,Car,"[""Cycling""]"
86f9919c-e36e-460d-a4e5-76a917405145,2026-09-09 13:41:01.52432+00,,45–54,Brazil,Married,0,No,2028 – 2029,Investment,Villa,3BR,1.5M–3M SAR,"[""Sea Views"",""Outdoor Space""]",Not required,"[""Installed Kitchen"",""Kitchen Appliances"",""Built-in Wardrobes"",""Private Pool""]","[""Sand""]","[""Padel"",""Tennis""]","[""Spa & Gym"",""Beach Club"",""Restaurants"",""Cafes"",""Retail""]",Depends on fees & flexibility,"{""age"":""45–54"",""unit_size"":""3BR"",""nationality"":""Brazil"",""price_range"":""1.5M–3M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Sea Views"",""Outdoor Space""],""property_type"":""Villa"",""social_status"":""Married"",""timing_to_buy"":""2028 – 2029"",""managed_rental"":""Depends on fees & flexibility"",""no_of_children"":""0"",""primary_reason"":""Investment"",""exterior_colour"":[""Sand""],""has_second_home"":""No"",""sport_amenities"":[""Padel"",""Tennis""],""premium_features"":[""Installed Kitchen"",""Kitchen Appliances"",""Built-in Wardrobes"",""Private Pool""],""community_mobility"":[""Personal Car"",""Private Buggy""],""staff_accommodation"":""Not required"",""additional_amenities"":[""Spa & Gym"",""Beach Club"",""Restaurants"",""Cafes"",""Retail""],""travel_to_destination"":""Air""}",5+ yrs,Air,"[""Personal Car"",""Private Buggy""]"
8702ec3e-47c8-4853-82ef-e5c6ffce4b10,2026-09-09 13:18:54.007861+00,,25–34,Saudi Arabia,Single,0,No,2028 – 2029,Both,Apartment,2BR,700k–1.5M SAR,"[""Sea Views""]",,"[""Installed Kitchen"",""Kitchen Appliances"",""Built-in Wardrobes"",""Private Pool""]","[""Blue"",""Rose"",""Sand""]","[""Padel"",""Tennis"",""Football""]","[""Spa & Gym"",""Social Lounge"",""Beach Club"",""Picnic Areas"",""Restaurants"",""Cafes"",""Retail""]",Depends on return,"{""age"":""25–34"",""unit_size"":""2BR"",""nationality"":""Saudi Arabia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Sea Views""],""property_type"":""Apartment"",""social_status"":""Single"",""timing_to_buy"":""2028 – 2029"",""managed_rental"":""Depends on return"",""no_of_children"":""0"",""primary_reason"":""Both"",""exterior_colour"":[""Blue"",""Rose"",""Sand""],""has_second_home"":""No"",""sport_amenities"":[""Padel"",""Tennis"",""Football""],""premium_features"":[""Installed Kitchen"",""Kitchen Appliances"",""Built-in Wardrobes"",""Private Pool""],""community_mobility"":[""Walking"",""Cycling"",""Private Buggy"",""Shared Buggy / Community Shuttle"",""Personal Car""],""staff_accommodation"":null,""additional_amenities"":[""Spa & Gym"",""Social Lounge"",""Beach Club"",""Picnic Areas"",""Restaurants"",""Cafes"",""Retail""],""travel_to_destination"":""Air""}",5+ yrs,Air,"[""Walking"",""Cycling"",""Private Buggy"",""Shared Buggy / Community Shuttle"",""Personal Car""]"
870bcb80-4c7e-44fe-be29-bf317f9de6b5,2026-09-09 13:08:05.643754+00,,35–44,Sri Lanka,Married,3,Self-owned,2028 – 2029,Both,Townhouse,4BR,1.5M–3M SAR,"[""Outdoor Space"",""Privacy"",""Sea Views""]",A maid's room,"[""Built-in Wardrobes"",""Installed Kitchen""]","[""Sand""]","[""Water sports"",""Padel"",""Football""]","[""Spa & Gym"",""Children's Club"",""Picnic Areas"",""Restaurants"",""Retail""]",Depends on return,"{""age"":""35–44"",""unit_size"":""4BR"",""nationality"":""Sri Lanka"",""price_range"":""1.5M–3M SAR"",""payment_plan"":""3–5 years"",""home_features"":[""Outdoor Space"",""Privacy"",""Sea Views""],""property_type"":""Townhouse"",""social_status"":""Married"",""timing_to_buy"":""2028 – 2029"",""managed_rental"":""Depends on return"",""no_of_children"":""3"",""primary_reason"":""Both"",""exterior_colour"":[""Sand""],""has_second_home"":""Self-owned"",""sport_amenities"":[""Water sports"",""Padel"",""Football""],""premium_features"":[""Built-in Wardrobes"",""Installed Kitchen""],""community_mobility"":[""Walking"",""Cycling"",""Private Buggy""],""staff_accommodation"":""A maid's room"",""additional_amenities"":[""Spa & Gym"",""Children's Club"",""Picnic Areas"",""Restaurants"",""Retail""],""travel_to_destination"":""Car""}",3–5 years,Car,"[""Walking"",""Cycling"",""Private Buggy""]"
8864cadd-4820-4658-addb-919af7a1fcd9,2026-09-09 13:44:30.651936+00,,35–44,Saudi Arabia,Married,3,Self-owned,2030 onwards,Both,Apartment,2BR,700k–1.5M SAR,"[""Sea Views"",""Balconies & Terraces"",""Outdoor Space""]",,"[""Installed Kitchen"",""Kitchen Appliances"",""Built-in Wardrobes""]","[""Blue""]","[""Water sports""]","[""Spa & Gym"",""Children's Club"",""Social Lounge"",""Ladies Facilities"",""Picnic Areas"",""Beach Club"",""Restaurants"",""Cafes"",""Retail""]",Depends on return,"{""age"":""35–44"",""unit_size"":""2BR"",""nationality"":""Saudi Arabia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Sea Views"",""Balconies & Terraces"",""Outdoor Space""],""property_type"":""Apartment"",""social_status"":""Married"",""timing_to_buy"":""2030 onwards"",""managed_rental"":""Depends on return"",""no_of_children"":""3"",""primary_reason"":""Both"",""exterior_colour"":[""Blue""],""has_second_home"":""Self-owned"",""sport_amenities"":[""Water sports""],""premium_features"":[""Installed Kitchen"",""Kitchen Appliances"",""Built-in Wardrobes""],""community_mobility"":[""Walking"",""Private Buggy"",""Shared Buggy / Community Shuttle"",""Cycling""],""staff_accommodation"":null,""additional_amenities"":[""Spa & Gym"",""Children's Club"",""Social Lounge"",""Ladies Facilities"",""Picnic Areas"",""Beach Club"",""Restaurants"",""Cafes"",""Retail""],""travel_to_destination"":""Car""}",5+ yrs,Car,"[""Walking"",""Private Buggy"",""Shared Buggy / Community Shuttle"",""Cycling""]"
886ce25c-ba5b-4368-b8c7-44e8eddc44d1,2026-09-09 14:49:05.278549+00,,35–44,Egypt,Married,2,Self-owned,2030 onwards,Investment,Townhouse,3BR,700k–1.5M SAR,"[""Sea Views"",""Privacy"",""Outdoor Space""]",Not required,"[""Installed Kitchen"",""Built-in Wardrobes""]","[""Blue"",""Sage""]","[""Padel"",""Water sports""]","[""Spa & Gym"",""Restaurants"",""Cafes"",""Social Lounge"",""Ladies Facilities""]",Depends on return,"{""age"":""35–44"",""unit_size"":""3BR"",""nationality"":""Egypt"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Sea Views"",""Privacy"",""Outdoor Space""],""property_type"":""Townhouse"",""social_status"":""Married"",""timing_to_buy"":""2030 onwards"",""managed_rental"":""Depends on return"",""no_of_children"":""2"",""primary_reason"":""Investment"",""exterior_colour"":[""Blue"",""Sage""],""has_second_home"":""Self-owned"",""sport_amenities"":[""Padel"",""Water sports""],""premium_features"":[""Installed Kitchen"",""Built-in Wardrobes""],""community_mobility"":[""Walking"",""Cycling"",""Private Buggy""],""staff_accommodation"":""Not required"",""additional_amenities"":[""Spa & Gym"",""Restaurants"",""Cafes"",""Social Lounge"",""Ladies Facilities""],""travel_to_destination"":""Car""}",5+ yrs,Car,"[""Walking"",""Cycling"",""Private Buggy""]"
